date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:13	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-588ad3d3-e8f486a784dccb3e;;;%22	http://paul-themes.com/robots.txt		(from )
15:10:14	14168/14168	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2019:14:49%20GMT	http://paul-themes.com/html/donald/	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/index.html	(from )
15:10:14	1251/1251	---M--	200	added ('OK')	image/png	etag:%224e3-5a39652a-f200bc4cb793f1d8;;;%22	http://paul-themes.com/html/donald/favicon.png	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/favicon.png	(from http://paul-themes.com/html/donald/)
15:10:15	1251/1251	---M--	200	added ('OK')	image/png	etag:%224e3-5a39652d-b821e3af595f09d8;;;%22	http://paul-themes.com/html/donald/apple-touch-icon.png	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/apple-touch-icon.png	(from http://paul-themes.com/html/donald/)
15:10:15	1659/1659	---M--	200	added ('OK')	image/png	etag:%2267b-5a39652b-18a31e423ef1564d;;;%22	http://paul-themes.com/html/donald/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/apple-touch-icon-72x72.png	(from http://paul-themes.com/html/donald/)
15:10:15	2084/2084	---M--	200	added ('OK')	image/png	etag:%22824-5a39652c-db823f46e30f9564;;;%22	http://paul-themes.com/html/donald/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/apple-touch-icon-114x114.png	(from http://paul-themes.com/html/donald/)
15:10:16	16358/16358	---MCZ	200	added ('OK')	text/css	etag:W/%2262c1-5a3964e9-189862994ad8fb9f;gz%22	http://paul-themes.com/html/donald/css/style.css	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/css/style.css	(from http://paul-themes.com/html/donald/)
15:10:25	63175/63175	---M--	200	added ('OK')	image/jpeg	etag:%22f6c7-5a39650f-abf7e9a309d8816;;;%22	http://paul-themes.com/html/donald/img/portfolio/1-637x465.jpg	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/img/portfolio/1-637x465.jpg	(from http://paul-themes.com/html/donald/)
15:10:29	54761/54761	---M--	200	added ('OK')	image/jpeg	etag:%22d5e9-5a396513-4d5907ee4265842c;;;%22	http://paul-themes.com/html/donald/img/portfolio/3-637x465.jpg	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/img/portfolio/3-637x465.jpg	(from http://paul-themes.com/html/donald/)
15:10:32	19685/19685	---M--	200	added ('OK')	image/jpeg	etag:%224ce5-5a396517-3ec59ff2625fed3b;;;%22	http://paul-themes.com/html/donald/img/reviews/1.jpg	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/img/reviews/1.jpg	(from http://paul-themes.com/html/donald/)
